Series,"01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025","12-2025"
United States Offenses,387,333,305,396,359,389,358,383,446,447,438,399,705,612,714,683,630,664,651,804,817,911,808,646,776,729,870,745,703,689,658,728,785,707,677,685,766,770,883,722,853,799,822,899,776,848,822,777,857,905,905,916,911,772,849,846,921,898,738,777,809,771,939,763,738,725,756,776,701,559,275,28
United States Clearances,24,28,24,22,18,26,17,31,27,21,21,22,33,36,33,22,36,32,23,32,30,24,26,26,34,41,35,37,33,27,34,33,46,29,39,51,51,35,37,36,45,37,36,35,40,39,38,53,48,44,37,49,39,40,53,47,48,66,52,35,26,44,46,38,29,31,24,27,33,20,4,0
